PATRON,0.0473,,mg/L,1.6,0.0027,-0.0034,0.0026,0.0027,0.0026
BLANCO,0.0013,,mg/L,42.3,0.0004,-0.0007,0.0006,0.0004,0.0002
BLANCO REACTIVO,0,,mg/L,14.3,0.0017,-0.003,0.0017,0.0014,0.0019
H KCA PO,0.021,,mg/L,31.5,0.0012,-0.0046,0.0008,0.0012,0.0015
H KCA PO,0.021,,mg/L,9.9,0.0012,-0.0022,0.0013,0.0011,0.0012
H KCA PO,0.021,,mg/L,7.5,0.0011,-0.004,0.0012,0.001,0.001
PATRON,0.0483,,mg/L,9.4,0.0027,-0.005,0.0024,0.0028,0.0029
H KCA PO,0.021,,mg/L,21.8,0.0011,-0.0021,0.0014,0.001,0.0009
H KCA PO,0.021,,mg/L,34.9,0.0012,-0.0043,0.0008,0.0016,0.0011
PATRON,0.0462,,mg/L,7.6,0.0026,-0.0064,0.0024,0.0027,0.0027
BLANCO,0.0012,,mg/L,>100,0.0004,-0.0053,0.0008,-0.0002,0.0006
BLANCO REACTIVO,0,,mg/L,9.5,0.0019,-0.0036,0.002,0.002,0.0017
M1 PO,0.0105,,mg/L,17.7,0.0009,-0.0039,0.001,0.0009,0.0007
M2 PO,0.0038,,mg/L,87.6,0.0005,-0.0054,0.001,0.0006,0
M3 PO,0.0059,,mg/L,54.6,0.0006,-0.0059,0.001,0.0006,0.0003
M4 PO,0.0021,,mg/L,>100,0.0005,-0.0047,0.0008,0.0006,-0.0001
PATRON,0.0473,,mg/L,10,0.0027,-0.0071,0.0028,0.0024,0.0028
P KCA PO,-0.0015,,mg/L,52.1,0.0003,-0.0035,0.0001,0.0003,0.0004
PATRON,0.0506,,mg/L,12.4,0.0021,-0.0005,0.0021,0.0018,0.0024
BLANCO,-0.0014,,mg/L,87.2,-0.0004,0.0012,-0.0004,-0.0008,-0.0001
BLANCO REACTIVO,0,,mg/L,2.5,-0.0075,0.0077,-0.0074,-0.0074,-0.0077
CELDA 8,0.0077,,mg/L,63.9,0.0007,-0.0058,0.0008,0.0012,0.0002
CANAL,0.017,,mg/L,27.8,0.0005,0.0034,0.0004,0.0004,0.0006
FASE 1,0.0283,,mg/L,1.6,0.001,0.0032,0.001,0.001,0.001
FASE 2,0.0227,,mg/L,34.6,0.0007,0.0039,0.0005,0.0008,0.0009
FASE 3,0.0276,,mg/L,11.9,0.001,0.0032,0.0008,0.0011,0.001
VSP NORTE,0.0303,,mg/L,32.9,0.0011,0.0022,0.0007,0.0013,0.0013
CELDA 8.1,0.0183,,mg/L,71.4,0.0005,0.003,0.001,0.0004,0.0002
CELDA 8.2,0.0138,,mg/L,49.8,0.0003,0.003,0.0003,0.0002,0.0005
CELDA 8.3,0.0241,,mg/L,32.1,0.0008,0.0025,0.0005,0.001,0.0009
S. RICA,0.0177,,mg/L,81.5,0.0008,0.0018,0.0011,0.0012,0
PATRON,0.0418,,mg/L,18.1,0.0025,-0.0022,0.0028,0.0028,0.002
BLANCO,-0.0005,,mg/L,62.3,0.0007,-0.001,0.0002,0.0009,0.0009
BLANCO REACTIVO,0,,mg/L,>100,0,-0.0011,0.0002,-0.0004,0.0002
H KCA PE,0.0125,,mg/L,12.1,0.0012,0.0003,0.0011,0.0012,0.0014
H KCA PE,0.0125,,mg/L,5.5,0.0011,0.0004,0.001,0.0011,0.001
H KCA PE,0.0125,,mg/L,27.8,0.0011,0.0009,0.0009,0.0014,0.0009
PATRON,0.0514,,mg/L,16.8,0.0031,-0.0003,0.0025,0.0034,0.0034
H KCA PE,0.0125,,mg/L,34.7,0.0003,0.003,0.0003,0.0002,0.0003
H KCA PE,0.0125,,mg/L,6.2,0.0009,0.0023,0.001,0.0009,0.0009
PATRON,0.0452,,mg/L,5.9,0.0028,-0.0004,0.003,0.0028,0.0026
BLANCO,-0.0061,,mg/L,58,0.0002,-0.0009,0.0003,0.0001,0.0002
BLANCO REACTIVO,0,,mg/L,>100,0,-0.0006,0.0002,0,-0.0001
M1 PE,0.0018,,mg/L,47.3,0.0006,0.0033,0.0003,0.0007,0.0008
M2 PE,0.0072,,mg/L,30.7,0.0009,0.0031,0.001,0.0006,0.001
M3 PE,-0.014,,mg/L,>100,-0.0002,0.0034,0.0003,-0.0004,-0.0005
M4 PE,-0.0016,,mg/L,>100,0.0004,0.0028,-0.0001,0.001,0.0004
PATRON,0.0508,,mg/L,36.4,0.0031,-0.0006,0.0034,0.004,0.0019
P KCA PE,0.001,,mg/L,31.3,0.0006,0.0033,0.0007,0.0004,0.0006
PATRON,0.0534,,mg/L,11.5,0.0032,-0.0006,0.0032,0.0029,0.0036
BLANCO,0.0005,,mg/L,>100,0.0005,0,-0.0002,0.0009,0.0009
BLANCO REACTIVO,0,,mg/L,26.4,0.0004,0,0.0003,0.0005,0.0005
ELY 1,0.0023,,mg/L,16.9,0.0006,0.0026,0.0007,0.0005,0.0006
ELY 2,0.0097,,mg/L,16.2,0.001,0.002,0.0011,0.0011,0.0008
ELY 3,0.0033,,mg/L,30.7,0.0007,0.003,0.0006,0.0009,0.0006
ELY 4,0.0063,,mg/L,47.5,0.0008,0.0021,0.0008,0.0012,0.0004
PATRON,0.0536,,mg/L,32,0.0032,-0.0017,0.0042,0.0033,0.0022
ELY P,0.0019,,mg/L,22.5,0.0006,0.0027,0.0007,0.0006,0.0005
PATRON,0.0494,,mg/L,25.7,0.003,-0.0015,0.0035,0.0034,0.0021
BLANCO,0.0009,,mg/L,94.4,0.0006,-0.0009,0.0006,0.001,0
BLANCO REACTIVO,0,,mg/L,76.1,0.0007,-0.0004,0.0013,0.0004,0.0004
TRITURADORA,0.0082,,mg/L,6.4,0.0009,0.0022,0.0009,0.001,0.0009
VICTORIA,0.0072,,mg/L,15.6,0.0009,0.0019,0.001,0.0007,0.0009
CELDA 1,0.0118,,mg/L,3.3,0.0011,0.0021,0.0011,0.0011,0.0011
CELDA 2,0.0103,,mg/L,49.9,0.001,0.0014,0.0013,0.0013,0.0004
CELDA 3,0.0106,,mg/L,47.6,0.001,0.0025,0.0005,0.0015,0.0011
CELDA 4A,0.0236,,mg/L,23.1,0.0017,0.0011,0.0021,0.0014,0.0016
CELDA 4B,0.0123,,mg/L,46.4,0.0011,0.0026,0.0017,0.0007,0.0009
CELDA 5A,0.008,,mg/L,67,0.0009,0.0019,0.0002,0.0011,0.0014
CELDA 5B,0.0154,,mg/L,27.2,0.0013,0.0018,0.0016,0.0009,0.0014
PATRON,0.0465,,mg/L,15.3,0.0029,-0.001,0.0033,0.0024,0.0029
BLANCO,-0.0117,,mg/L,>100,-0.0001,-0.001,-0.0001,0.0001,-0.0003
BLANCO REACTIVO,0,,mg/L,59.6,0.0009,-0.0003,0.0005,0.0007,0.0015
BLANCO,-0.0064,,mg/L,>100,0.0002,-0.0015,0,0.0008,-0.0002
